Algoritmo,Imagen,Tiempo
CUDA CPU,image_100_9_3.png,2271
CPU,image_100_9_3.png,383
CUDA, image_100_9_3.png,2473
CUDA V2, image_100_9_3.png,1620
CUDA CPU V2, image_100_9_3.png,1533
CUDA CPU,image_100_9_4.png,2313
CPU,image_100_9_4.png,522
CUDA, image_100_9_4.png,2462
CUDA V2, image_100_9_4.png,1533
CUDA CPU V2, image_100_9_4.png,1381
CUDA CPU,image_100_9_5.png,2687
CPU,image_100_9_5.png,483
CUDA, image_100_9_5.png,2634
CUDA V2, image_100_9_5.png,1461
CUDA CPU V2, image_100_9_5.png,1399
CUDA CPU,image_100_9_6.png,2278
CPU,image_100_9_6.png,448
CUDA, image_100_9_6.png,2341
CUDA V2, image_100_9_6.png,1489
CUDA CPU V2, image_100_9_6.png,1552
CUDA CPU,image_100_9_7.png,2188
CPU,image_100_9_7.png,419
